Date,Open,High,Low,Close,Volume,Adj Close
2013-07-01,56.110001,56.23,54.970001,55.009998,2845300,52.823421
2013-06-28,55.50,56.330002,55.029999,55.830002,3350300,53.61083
2013-06-27,55.369999,55.759998,55.099998,55.310001,2446300,53.111499
2013-06-26,53.779999,55.290001,53.779999,55.040001,2503200,52.852231
2013-06-25,53.740002,53.77,53.060001,53.549999,2846600,51.421455
2013-06-24,54.02,54.310001,53.25,53.610001,2936800,51.479071
2013-06-21,54.240002,54.93,54.150002,54.34,2668500,52.180054
2013-06-20,55.470001,55.610001,54.009998,54.139999,3015200,51.988003
2013-06-19,55.779999,56.389999,55.389999,55.560001,2227200,53.351562
2013-06-18,55.68,55.98,55.389999,55.860001,1805600,53.639637
2013-06-17,55.130001,55.68,55.049999,55.66,2929400,53.447586
2013-06-14,54.439999,55.209999,54.400002,54.93,1985300,52.746603
2013-06-13,54.610001,54.689999,54.040001,54.560001,2551400,52.391311
2013-06-12,55.02,55.349998,54.720001,54.75,3673500,52.573757
2013-06-11,53.959999,55.18,53.939999,54.810001,3596200,52.631374
2013-06-10,53.130001,53.84,52.970001,53.709999,2497500,51.575095
2013-06-07,52.700001,53.25,52.700001,52.939999,3489200,50.835701
2013-06-06,52.810001,53.080002,52.439999,52.549999,3420300,50.461204
2013-06-05,53.040001,53.369999,52.84,52.900002,3433100,50.797294
2013-06-04,52.73,53.400002,52.689999,53.259998,2779700,51.142981
2013-06-03,54.009998,54.139999,52.380001,52.68,3582100,50.586037
2013-05-31,54.490002,54.720001,54.080002,54.080002,2534700,51.930391
2013-05-30,54.00,55.02,53.900002,54.720001,1743800,52.544951
2013-05-29,54.169998,54.50,53.220001,53.900002,2679200,51.757545
2013-05-28,54.77,55.200001,54.040001,54.369999,2759300,52.208861
2013-05-24,54.360001,54.560001,54.040001,54.439999,1935100,52.276078
2013-05-23,54.32,54.799999,54.049999,54.580002,1816000,52.410516
2013-05-22,54.720001,55.110001,54.369999,54.459999,2471600,52.295283
2013-05-21,54.77,54.939999,54.400002,54.650002,1698200,52.477733
2013-05-20,55.009998,55.23,54.709999,54.82,1712700,52.640974
2013-05-17,54.439999,55.07,54.18,54.990002,2180100,52.804219
2013-05-16,54.639999,55.060001,54.290001,54.400002,1766600,52.237671
2013-05-15,55.00,55.48,54.650002,55.009998,2859300,52.621768
2013-05-14,54.470001,54.990002,54.25,54.959999,2369200,52.57394
2013-05-13,54.68,54.880001,54.450001,54.48,2022800,52.114779
2013-05-10,54.98,55.00,54.630001,54.84,1324800,52.45915
2013-05-09,54.91,55.09,54.490002,54.810001,1708200,52.430454
2013-05-08,55.029999,55.209999,54.619999,55.099998,2598700,52.707861
2013-05-07,54.59,55.040001,54.369999,54.98,2142100,52.593072
2013-05-06,54.490002,54.709999,54.34,54.400002,1401200,52.038254
2013-05-03,55.009998,55.080002,54.419998,54.57,1850800,52.200872
2013-05-02,53.849998,54.860001,53.77,54.849998,2157900,52.468715
2013-05-01,54.060001,54.400002,53.759998,53.84,2418000,51.502565
2013-04-30,54.07,54.130001,53.599998,54.119999,2064900,51.770408
2013-04-29,53.330002,54.279999,53.25,54.060001,3329100,51.713015
2013-04-26,53.00,53.599998,52.779999,53.259998,5365100,50.947744
2013-04-25,55.82,56.00,53.130001,53.41,7988800,51.091233
2013-04-24,56.330002,56.599998,55.630001,55.82,3091300,53.396604
2013-04-23,56.389999,56.91,55.939999,56.299999,2419400,53.855764
2013-04-22,56.419998,56.439999,55.650002,56.200001,2571100,53.760107
2013-04-19,55.610001,55.990002,55.240002,55.919998,2023400,53.492261
2013-04-18,55.060001,56.07,55.02,55.439999,4273900,53.0331
2013-04-17,54.779999,55.189999,54.450001,55.060001,3176700,52.6696
2013-04-16,54.48,54.990002,54.119999,54.950001,2050600,52.564375
2013-04-15,54.139999,54.349998,53.84,54.040001,2243200,51.693883
2013-04-12,53.779999,54.330002,53.68,54.18,1269300,51.827804
2013-04-11,53.279999,54.16,53.25,53.810001,2354400,51.473868
2013-04-10,53.93,54.00,53.080002,53.299999,3148400,50.986008
2013-04-09,52.75,53.150002,52.490002,52.919998,3118200,50.622504
2013-04-08,52.18,52.700001,51.689999,52.630001,2294600,50.345097
2013-04-05,51.43,52.119999,51.41,52.080002,1596400,49.818976
2013-04-04,51.689999,52.830002,51.669998,51.82,2840100,49.570262
2013-04-03,52.57,52.830002,51.310001,51.689999,4837400,49.445905
2013-04-02,51.919998,53.360001,51.849998,52.41,4047700,50.134647
2013-04-01,51.380001,51.66,51.290001,51.639999,1429400,49.398076
2013-03-28,50.959999,51.57,50.790001,51.450001,2835600,49.216326
2013-03-27,50.509998,50.900002,50.330002,50.709999,2027900,48.508451
2013-03-26,50.860001,51.209999,50.470001,50.720001,2428300,48.518019
2013-03-25,49.950001,50.950001,49.84,50.59,3248100,48.393662
2013-03-22,49.799999,49.919998,49.599998,49.82,2917300,47.657091
2013-03-21,50.110001,50.540001,49.560001,49.790001,2285000,47.628394
2013-03-20,50.310001,50.450001,49.720001,50.240002,3203700,48.058858
2013-03-19,51.389999,52.150002,49.919998,50.060001,17071100,47.886673
2013-03-18,48.32,48.669998,48.16,48.299999,2602100,46.20308
2013-03-15,49.139999,49.240002,48.82,48.889999,2025400,46.767466
2013-03-14,49.00,49.389999,48.91,49.290001,1810900,47.150101
2013-03-13,48.709999,48.900002,48.57,48.860001,859200,46.738769
2013-03-12,48.52,48.849998,48.439999,48.650002,1222600,46.537887
2013-03-11,48.360001,48.740002,48.290001,48.549999,1495100,46.442227
2013-03-08,48.27,48.509998,47.970001,48.48,1426400,46.375266
2013-03-07,48.439999,48.650002,47.68,48.080002,1785900,45.992634
2013-03-06,48.439999,48.799999,48.27,48.48,1494700,46.375266
2013-03-05,48.040001,48.400002,47.959999,48.27,1646800,46.174384
2013-03-04,47.830002,48.25,47.66,48.25,2132800,46.155252
2013-03-01,47.220001,48.139999,46.889999,47.98,2135900,45.896973
2013-02-28,46.959999,47.509998,46.810001,47.200001,2253700,45.150838
2013-02-27,46.66,47.209999,46.580002,47.029999,855100,44.988216
2013-02-26,46.380001,46.619999,46.080002,46.57,1373600,44.548188
